DateKey|Date|DayNumberInMonth|DayNumberInYear|WeekNumberInYear|MonthNum|MonthTxt|Quarter|Year|Fiscal Year|isHoliday|isWeekend|Season
1|2024-01-01|1|1|1|1|January|1|2024|2023|True|False|Winter
2|2024-01-02|2|2|1|1|January|1|2024|2023|False|False|Winter
3|2024-01-03|3|3|1|1|January|1|2024|2023|False|False|Winter
4|2024-01-04|4|4|1|1|January|1|2024|2023|False|False|Winter
5|2024-01-05|5|5|1|1|January|1|2024|2023|False|False|Winter
6|2024-01-06|6|6|1|1|January|1|2024|2023|False|True|Winter
7|2024-01-07|7|7|1|1|January|1|2024|2023|False|True|Winter
8|2024-01-08|8|8|2|1|January|1|2024|2023|False|False|Winter
9|2024-01-09|9|9|2|1|January|1|2024|2023|False|False|Winter
10|2024-01-10|10|10|2|1|January|1|2024|2023|False|False|Winter
11|2024-01-11|11|11|2|1|January|1|2024|2023|False|False|Winter
12|2024-01-12|12|12|2|1|January|1|2024|2023|False|False|Winter
13|2024-01-13|13|13|2|1|January|1|2024|2023|False|True|Winter
14|2024-01-14|14|14|2|1|January|1|2024|2023|False|True|Winter
15|2024-01-15|15|15|3|1|January|1|2024|2023|True|False|Winter
16|2024-01-16|16|16|3|1|January|1|2024|2023|False|False|Winter
17|2024-01-17|17|17|3|1|January|1|2024|2023|False|False|Winter
18|2024-01-18|18|18|3|1|January|1|2024|2023|False|False|Winter
19|2024-01-19|19|19|3|1|January|1|2024|2023|False|False|Winter
20|2024-01-20|20|20|3|1|January|1|2024|2023|False|True|Winter
21|2024-01-21|21|21|3|1|January|1|2024|2023|False|True|Winter
22|2024-01-22|22|22|4|1|January|1|2024|2023|False|False|Winter
23|2024-01-23|23|23|4|1|January|1|2024|2023|False|False|Winter
24|2024-01-24|24|24|4|1|January|1|2024|2023|False|False|Winter
25|2024-01-25|25|25|4|1|January|1|2024|2023|False|False|Winter
26|2024-01-26|26|26|4|1|January|1|2024|2023|False|False|Winter
27|2024-01-27|27|27|4|1|January|1|2024|2023|False|True|Winter
28|2024-01-28|28|28|4|1|January|1|2024|2023|False|True|Winter
29|2024-01-29|29|29|5|1|January|1|2024|2023|False|False|Winter
30|2024-01-30|30|30|5|1|January|1|2024|2023|False|False|Winter
31|2024-01-31|31|31|5|1|January|1|2024|2023|False|False|Winter
32|2024-02-01|1|32|5|2|February|1|2024|2023|False|False|Winter
33|2024-02-02|2|33|5|2|February|1|2024|2023|False|False|Winter
34|2024-02-03|3|34|5|2|February|1|2024|2023|False|True|Winter
